"UID","PID","LEGTYPE","CHAMBER","STATECODE","DISTRICT","DISTRAIL","FIRSTNAME","LASTNAME","MIDNAME","PREFIX","GENSUFFIX","TITLE","COMCODE1","COMOFFC1","COMRANK1","SUBCODE11","SUBCOMOFF11","SUBRANK11","SUBCODE12","SUBCOMOFF12","SUBRANK12","SUBCODE13","SUBCOMOFF13","SUBRANK13","SUBCODE14","SUBCOMOFF14","SUBRANK14","SUBCODE15","SUBCOMOFF15","SUBRANK15","COMCODE2","COMOFFC2","COMRANK2","SUBCODE21","SUBCOMOFF21","SUBRANK21","SUBCODE22","SUBCOMOFF22","SUBRANK22","SUBCODE23","SUBCOMOFF23","SUBRANK23","SUBCODE24","SUBCOMOFF24","SUBRANK24","SUBCODE25","SUBCOMOFF25","SUBRANK25","COMCODE3","COMOFFC3","COMRANK3","SUBCODE31","SUBCOMOFF31","SUBRANK31","SUBCODE32","SUBCOMOFF32","SUBRANK32","SUBCODE33","SUBCOMOFF33","SUBRANK33","SUBCODE34","SUBCOMOFF34","SUBRANK34","SUBCODE35","SUBCOMOFF35","SUBRANK35","COMCODE4","COMOFFC4","COMRANK4","SUBCODE41","SUBCOMOFF41","SUBRANK41","SUBCODE42","SUBCOMOFF42","SUBRANK42","SUBCODE43","SUBCOMOFF43","SUBRANK43","SUBCODE44","SUBCOMOFF44","SUBRANK44","SUBCODE45","SUBCOMOFF45","SUBRANK45","COMCODE5","COMOFFC5","COMRANK5","SUBCODE51","SUBCOMOFF51","SUBRANK51","SUBCODE52","SUBCOMOFF52","SUBRANK52","SUBCODE53","SUBCOMOFF53","SUBRANK53","SUBCODE54","SUBCOMOFF54","SUBRANK54","SUBCODE55","SUBCOMOFF55","SUBRANK55","COMCODE6","COMOFFC6","COMRANK6","COMCODE7","COMOFFC7","COMRANK7","COMCODE8","COMOFFC8","COMRANK8","COMCODE9","COMOFFC9","COMRANK9","CUMCOMCODE","CUMSUBCODE"
21982,249791,"FL","H","MS","04","","Steven","Palazzo","M.","Rep.","","US Representative","HAPP","","R026","HAPP05","","R007","HAPP10","","R007","HAPP30","VCH","R002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HAPP","HAPP05;HAPP10;HAPP30"
21985,316283,"FL","H","NC","02","","George","Holding","E.B.","Rep.","","US Representative","HWAY","","R016","HWAY25","","R006","HWAY30","","R007","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HWAY","HWAY25;HWAY30"
21986,158936,"FL","H","NC","03","","Walter","Jones","B.","Rep.","Jr.","US Representative","HARM","","R002","HARM10","","R002","HARM35","","R011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HARM","HARM10;HARM35"
22059,159009,"FL","H","OH","09","","Marcy","Kaptur","C.","Rep.","","US Representative","HAPP","","D003","HAPP15","","D005","HAPP20","RMM","D001","HAPP35","","D004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HAPP","HAPP15;HAPP20;HAPP35"
22060,211690,"FL","H","OH","10","","Michael","Turner","R.","Rep.","","US Representative","HARM","","R006","HARM30","","R005","HARM35","CHM","R001","","","","","","","","","","HITL","","R007","HITL10","","R002","HITL20","","R004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HARM;HITL","HARM30;HARM35;HITL10;HITL20"
22063,208806,"FL","H","OH","13","","Tim","Ryan","J.","Rep.","","US Representative","HAPP","","D012","HAPP15","","D003","HAPP45","RMM","D001","HAPP50","","D004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HAPP","HAPP15;HAPP45;HAPP50"
22065,213916,"FL","H","OH","15","","Steve","Stivers","E.","Rep.","","US Representative","HFIN","","R011","HFIN05","","R006","HFIN15","","R007","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HFIN","HFIN05;HFIN15"
22066,284934,"FL","H","OH","16","","Jim","Renacci","B.","Rep.","","US Representative","HWAY","","R014","HWAY25","","R004","","","","","","","","","","","","","HBUD","","R013","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HWAY;HBUD","HWAY25"
22069,439365,"FL","H","OH","14","","Dave","Joyce","P.","Rep.","","US Representative","HAPP","","R018","HAPP20","","R007","HAPP35","","R005","HAPP60","VCH","R002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HAPP","HAPP20;HAPP35;HAPP60"
22074,271940,"FL","H","OK","05","","Steve","Russell","D.","Rep.","","US Representative","HARM","","R023","HARM10","","R003","HARM20","","R004","","","","","","","","","","HOGOV","","R017","HOGOV15","","R005","HOGOV30","","R002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HARM;HOGOV","HARM10;HARM20;HOGOV15;HOGOV30"
22075,159025,"FL","H","OK","03","","Frank","Lucas","D.","Rep.","","US Representative","HAGR","","R004","HAGR15","CHM","R001","HAGR20","","R002","","","","","","","","","","HFIN","","R005","HFIN10","","R004","HFIN20","","R003","","","","","","","","","","HSST","VCH","R002","HSST05","","R004","HSST20","","R003","HSST25","","R004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HAGR;HFIN;HSST","HAGR15;HAGR20;HFIN10;HFIN20;HSST05;HSST20;HSST25"
